company_name,website_url,company_description
Synergent Biochem,http://www.synergentbiochem.com/,"Synergent specializes in manufacturing serum and plasma products, diagnostic components, and wet chemistry solutions."
LifeSpace Labs,https://www.lifesplabs.com/flexbioculture,"At Flex BioCulture (powered by LifeSpace Labs), we offer advanced fermentation and cell culture bioprocessing services to startups, researchers, and academic institutions. From early process development to commercialization, our hands-on approach supports innovators with efficient and scalable solutions. Flex BioCulture’s low-price, no-commitment model eliminates the financial barriers often faced by the scientific community. Committed to excellence and customer satisfaction, we take pride in fostering the ground-breaking innovations of tomorrow."
Biostir,https://www.biostir.com/english/,
ImYoo,https://imyoo.health,"ImYoo is a patient-enabled public benefit corporation, partnering with patients and biotech companies to generate high quality multi-omic single-cell data from small self-collected blood samples taken at home, during critical disease events, and over time. By leveraging decentralized collection, ImYoo's platform can generate longitudinal datasets at unprecedented speed and scale, and empower biotech companies to find novel biomarkers, targets, mechanisms of action, and molecularly-defined patient populations."
Carpaccio.cloud,https://carpaccio.cloud/,"CARPACCIO.cloud aims to revolutionize a particularly time-consuming, unattractive and unrewarding step of neuromuscular research: acquiring data on the number, size, type and the physiological state of the muscle fibers of the microscope images. This, thanks to an image analysis software, distributed as an online service. The fields of application cover a wide field of diseases such as genetic diseases, autoimmune diseases, metabolic diseases and cancers. A diversification is envisaged in other fields and tissues where a similar approach is used.  CARPACCIO.cloud proposes new solutions for the acquisition of muscle cross-section parameters: contour / perimeter; Cytoplasmic labeling; Presence of ""central"" nuclei indicating muscle regeneration; As well as other control parameters such as circularity and minimum diameter of Ferret. This, more than 2000 times faster than by hand, with precision close to 97% - equivalent of the comparison between two manipulators. CARPACCIO.cloud automatically performs the analysis of all parameters of a muscle with 3000 fibers which would take someone over 2.5 days in less than one minute. All this via a web interface accessible from any terminal – desktop, laptop, tablet, smartphone - anywhere in the world!"
ATG:biosynthetics,http://www.atg-biosynthetics.com/,"ATG:biosynthetics GmbH was founded in 2001 by Dr. Hubert Bernauer and has its headquarters in Merzhausen near Freiburg, Germany.  ATG is a synthetic biology and biotechnology company. We offer straightforward gene synthesis, gene optimization and expression systems but are specifically experts for synthetic bioinformatics that enable complex combinatorial gene designs, multi-gene expression strategies and projects involving gene cluster design.  We offer bioinformatics and wet-lab expertise, products and services. Our mainstays are multi-gene and multi-peptide expression products and services along with bioinformatics analysis and work-up for academic and industrial R&D in the fields of drug discovery, industrial and medical biotechnology, molecular diagnostics, and bioengineering."
New Jersey Laboratories Inc,http://www.njlabs.com/,"NJ Labs provides expert analytical chemistry & microbiology testing for the pharmaceutical, nutraceutical, dietary supplement, cosmetic, dairy & food industries. We are an FDA, DEA, registered & inspected, contract laboratory testing to exacting CGMP standards. Our team of scientists builds upon our quality legacy by continually developing and validating methods for raw materials and finished products testing - established upon our founding over 80 years ago."
Quantum Analytics Group,https://www.quananalytics.com/testing-services/pharmaceuticals.html,"Our state-of-the-art analytical capabilities are employed by industry to verify quality, meet regulatory requirements (such as USP, EP, FDA, EMA, FCC, JP, ICH, EPA), identify contaminants, investigate product quality issues, verify safety, support product development or resolve method performance issues. Using an array of advanced techniques and innovative technology, we conduct highly precise analytical testing for various industries. Our analytical services support the testing needs of companies across a broad spectrum of high-tech, high-impact and highly regulated industries. All work performed by Quantum utilizes state-of-the-art instrumentation with an extensive range of analytical techniques and instrumental capabilities."
Pharmaceutical Manufacturing Research Services,http://pmrsinc.com,Pharmaceutical Manufacturing Research Services is a full-service contract manufacturer capable of handling all aspects of your project
Express Genomics,http://www.express-genomics.com/,"Express Genomics, founded by former Life Technologies employees, leverages years of experience in delivering top-tier cDNA library services. With the increasing demand for rapid discovery and expression of novel genes across diverse tissues and species following milestones in genome mapping, we have pioneered innovative technology to produce libraries containing more full-length cDNA inserts. Our services extend to libraries with an average insert size of ≥3kb, libraries produced from minimal starting tissue amounts, and RNA, normalized, and subtracted libraries, catering to a wide array of research needs in genomics and molecular biology."
ChemoGenics BioPharma,http://www.chemogenicsbiopharma.com,"Contribution to design and synthesis of Phase 2 Clinical Compounds: Trilaciclib and Lerociclib ChemoGenics BioPharma excels in multiple phases of preclinical drug discovery.  Our core strengths are Medicinal Chemistry, process optimization, scale up, animal (rodent) dosing studies, DMPK,  bioanalytical studies (tissue and plasma matrices).  We have several collaborative medicinal chemistry programs in various target areas.   Our internally developed compound has entered human trials as a first in class chemoprotective agent.  We have several other compounds entering human clinical trials for other indications. We want to use our expertise to help companies identify molecules that could enter human clinical trials. State of art instrumentation for bioanalytical work: Sciex 4000QTRAP, Sciex 5500 coupled to Agilent HPLC/UPLC"
BaxterBioPharma Solutions,http://baxterbiopharmasolutions.com,Simtra BioPharma Solutions is a pharmaceutical company that manufactures injectables and clinical supplies.
WiCell Research Institute,http://www.wicell.org,"WiCell Research Institute’s Characterization Services include karyotype, FISH, mycoplasma screening, identity by STR, and SNP microarray testing services for various cell types."
HepaPredict,http://www.hepapredict.com,"HepaPredict AB specializes in drug metabolism, toxicity, and drug development for liver disease. Utilizing our proprietary long-term stable physiological 3D spheroid culture platform, we provide comprehensive services including in-house evaluations of drug metabolism, pharmacokinetic properties, safety assessments, and drug target validations. Our unique offering lies in being the sole provider of this 3D spheroid platform for predictive in vivo metabolism and toxicity. Integrated with preclinical solutions and scientific consultancy, our goals encompass improved preclinical selection of drug candidates, shortened development times, reduced costs, and the development of novel medications targeting hepatic diseases. Leveraging the most extensively characterized 3D spheroid system available, we ensure unmatched accuracy in predicting hepatotoxicity and evaluating toxicity mechanisms. Our services include tailored experimental designs and readouts, rapid turnaround of results and reports, extensive customer support, integrative analysis by experienced toxicologists, and consulting for future steps and follow-up studies."
Sartorius,https://www.sartorius.com/en,"Our ambition is to simplify medical progress from the first idea of a new medication to its production. We support our customers with innovative technologies that make the development and manufacture of new therapeutics faster and more efficient. So that more people have access to better medicine. More than 15,000 employees at over 60 production and sales locations worldwide are committed to this vision."
Packgene Biotech,http://www.packgene.com,"PackGene is a world-leading AAV vector packaging CRO and CDMO. Founded in Massachusetts, USA, PackGene now has offices in Guangzhou, Shanghai, Boston, Houston and Zurich. We work with customers to support gene therapy programs from early-stage R&D, preclinical development, to IND studies. Our mission is to accelerate gene therapy product development by providing an integrated one-stop solution including plasmid, viral vector, fill-finish and QC analytical services for the gene therapy industry."
Hangzhou Holypharm Biotech,http://www.holypharm.com,"Holypharm Biotech specialized in active pharmaceutical ingredients and intermediates. With our head office in the capital of Zhejiang Province: Hangzhou. We have participations and contracts with 2 plants located in Zhejiang and Jiangsu Province. Our main products are antivirals, antibiotics. Our products have been registered in Latin America, India, North America, Turkey, etc.  To provide clients with more technical support, we will present efficient regulatory documents to show professional abilities in this field. We are experts in quality control, registration data, excellent packaging & labeling and logistics.  HOLYPHARM (PHARM DEPT.) - Our main products are antivirals, cardiovascular, antidiabetes, steroid, antibiotics, anti-HIV, and their intermediates, especially on antivirals and antibiotics.  HOLYPHARM (VETERINARY DEPT.)-All our manufacturing bases and facilities are GMP approved, we provide more than 100 veterinary products, forms including raw material ( ferment and synthesize products), premix, injection, tablets, suspension etc.."
Axil Scientific Pte Ltd,https://www.axilscientific.com/,"Leading Life Science Distributor and Service Provider in Singapore.

With over 20 years of industry experience, Axil Scientific has built a strong reputation as a trusted partner for research institutions and biotech companies across Singapore. Our strength lies in combining a comprehensive distribution network with robust in-house manufacturing capabilities, enabling us to deliver quality products with speed and cost-efficiency.

As part of our expanding services, Axil provides contract manufacturing solutions designed to meet the diverse needs of the life science community. From custom reagents and buffers to ready-to-use molecular biology kits, we offer flexible OEM and private label options—all produced locally under stringent quality control and scalable production processes."
