name,definition,clinical_stage
In Vitro Neurodegenerative Disease Models,"For studying diseases like Alzheimer's, Parkinson's, Huntington's, and ALS",PRECLINICAL
Integration Site Analysis,,BOTH
Immunoperoxidase Studies,,BOTH
Failure Analysis,,BOTH
Building Blocks Synthesis,,PRECLINICAL
Steroids Manufacturing,,BOTH
Cell and Gene Therapy Manufacturing,,BOTH
Histone Modification Analysis,"Studying the chemical modifications of histone proteins, which affect chromatin structure and gene expression.",PRECLINICAL
Food Supplement Manufacturing,,BOTH
Protein Mass Spectrometry,Quantitative and qualitative analysis of proteins using LC-MS/MS; tandem mass spectrometry for protein identification and post-translational modification (PTM) analysis; Selected Reaction Monitoring (SRM) for quantifying specific proteins,PRECLINICAL
ELISA Kit Development,,BOTH
Food Manufacturing,,BOTH
Exosome Research Services,"Exosome Isolation and Purification, Exosome Identification, Exosome Quantification, Exosome Analysis, Exosome Applications",PRECLINICAL
Virucidal Efficacy,,PRECLINICAL
PCR Reagents and Raw Materials Manufacturing,,BOTH
RNA Design,Custom design and synthesis of novel RNA with specific functions,PRECLINICAL
In Vitro Toxicology,Use of cell cultures and organotypic models to evaluate toxicity,PRECLINICAL
Microscale Thermophoresis (MST),Quantification of biomolecular interactions in solution based on thermophoresis,PRECLINICAL
Microgravity Experiments,,PRECLINICAL
Antiviral Development,,PRECLINICAL
RNA Sequencing (RNA-Seq),"Quantifying, profiling, and identifying novel RNA transcripts; analysis of gene expression, alternative splicing, and post-transcriptional modifications",BOTH
Biologics Scale-Up Development,Translating small-scale culture processes to larger bioreactors while maintaining cell viability and product consistency,BOTH
Computational Biology,Using structural modelling and virtual screening to identify druggable pockets on proteins and predict promising lead compounds,BOTH
Tissue Biobanking,"The collection, preservation, and storage of tissue samples for research and clinical use, enabling the study of tissue-specific diseases, biomarker identification, and therapeutic development.",BOTH
Metabolite Profiling Data by NMR,Analyzing the metabolic profile of a biological sample using Nuclear Magnetic Resonance spectroscopy to identify and quantify metabolites.,PRECLINICAL
Wound Healing,,PRECLINICAL
Phytotoxicity Efficacy Testing,,PRECLINICAL
Clinical Trial Manufacturing,,CLINICAL
Botanical Identity Testing,,BOTH
Peptide Biomarker Discovery,,BOTH
Women's Health Pathology,,CLINICAL
Tissue Microarrays (TMA),,BOTH
Peripheral Vascular Models,,PRECLINICAL
Liquid Dosage Forms,"The formulation of liquid drug products, including solutions and suspensions, designed for oral, topical, or injectable administration, focusing on stability, efficacy, and ease of use.",BOTH
Karl Fischer Titration (KF),,BOTH
Microscopy Testing,,BOTH
Fatty Acid Analysis,,BOTH
Protein Function Assays,Functional assays to study the biological activity of proteins,PRECLINICAL
Peptidomics,,PRECLINICAL
Network Biology and Pathway Analysis,Network biology and pathway analysis for understanding complex biological systems,PRECLINICAL
Biomarker Identification,The process of detecting and validating specific biological markers indicative of particular health conditions or diseases.,BOTH
